a,choice,date,float,integer,mask,string,timestep,wchoice
5.9153883080653795,123,2022-10-07,5.9153883080653795,8,123lp4568,cb,2022-10-09 01:15:05,456
6.826128720642552,123,2022-10-11,6.826128720642552,4,123mw4561,ba,2022-10-11 03:11:26,123
7.93764831656361,123,2022-10-09,7.93764831656361,7,1233c4566,cb,2022-10-08 20:05:49,456
5.901083119034855,hello,2022-10-08,5.901083119034855,7,123kz456k,ba,2022-10-09 03:45:40,hello
8.95937353582023,hello,2022-10-11,8.95937353582023,6,123v1456e,ac,2022-10-10 06:17:24,hello
2.239874953527974,hello,2022-10-09,2.239874953527974,5,123gu456s,aa,2022-10-10 03:44:57,hello
7.657645218375216,456,2022-10-08,7.657645218375216,2,123dy456w,aa,2022-10-09 21:35:56,hello
6.0336509993220755,456,2022-10-11,6.0336509993220755,8,123b2456c,bb,2022-10-08 20:02:28,456
8.44963025934739,hello,2022-10-10,8.44963025934739,6,12306456o,aa,2022-10-08 07:09:08,hello
4.879813082955372,456,2022-10-07,4.879813082955372,9,1235e456g,bc,2022-10-11 05:44:47,hello
3.19674829762638,123,2022-10-10,3.19674829762638,9,123mi456k,bb,2022-10-08 10:49:32,123
4.264383983679587,456,2022-10-07,4.264383983679587,8,123mp456w,ba,2022-10-07 20:33:30,hello
3.856196678317818,123,2022-10-10,3.856196678317818,1,123ne456j,aa,2022-10-10 08:49:21,hello
9.99440842853989,456,2022-10-07,9.99440842853989,6,123du456s,cb,2022-10-09 05:37:14,hello
6.680184396139307,hello,2022-10-08,6.680184396139307,6,123fv456r,ba,2022-10-10 13:33:52,hello
3.4301826735140617,123,2022-10-08,3.4301826735140617,5,123rd456y,ca,2022-10-08 20:17:53,hello
7.30639670553081,hello,2022-10-10,7.30639670553081,7,1239n456x,ba,2022-10-10 06:55:57,hello
1.6317161602739536,123,2022-10-09,1.6317161602739536,7,123r84569,aa,2022-10-11 22:09:32,456
8.689127865890558,123,2022-10-07,8.689127865890558,8,123qb456p,cb,2022-10-09 08:06:46,456
1.2551931968995511,456,2022-10-07,1.2551931968995511,4,123ph456h,bc,2022-10-09 05:30:56,hello
6.562977842943912,456,2022-10-11,6.562977842943912,8,123tc456w,cb,2022-10-08 12:06:23,123
2.274224079196378,123,2022-10-07,2.274224079196378,5,1232t4563,cb,2022-10-08 20:00:34,hello
1.923720143930172,hello,2022-10-09,1.923720143930172,4,123fx4568,ba,2022-10-09 05:17:24,456
3.5634138222085316,hello,2022-10-08,3.5634138222085316,8,123x2456x,ba,2022-10-11 01:00:01,456
8.421046619332394,456,2022-10-10,8.421046619332394,8,1234v4561,cb,2022-10-09 01:31:07,hello
2.5293827145978076,hello,2022-10-10,2.5293827145978076,5,123l5456t,ba,2022-10-08 19:31:09,hello
7.349904206979285,123,2022-10-07,7.349904206979285,4,123us456q,aa,2022-10-11 16:58:38,hello
2.4143746353486932,hello,2022-10-08,2.4143746353486932,7,123ia456h,ab,2022-10-11 16:25:20,hello
8.597266986882705,hello,2022-10-11,8.597266986882705,6,1231p456n,ba,2022-10-11 14:52:53,hello
8.409339042123019,123,2022-10-09,8.409339042123019,4,123pd456k,cb,2022-10-08 23:08:34,123
4.8763235377288945,hello,2022-10-10,4.8763235377288945,3,123m2456r,aa,2022-10-09 16:58:27,hello
